NN,VE1sign_Dz(v)_cme,J_Dz(p)_cme,HATS5s_cbt,VE3sign_B(v)_cbt,R1s+_cbt,Wap_cme,Eig09_EA(dm)_cme,DLS_01_cbt,Active_2,Pred,%Prob(-1),%Prob(+1),stdVE1sign_Dz(v)_cme,stdJ_Dz(p)_cme,stdHATS5s_cbt,stdVE3sign_B(v)_cbt,stdR1s+_cbt,stdWap_cme,stdEig09_EA(dm)_cme,stdDLS_01_cbt,Outlier_info(standardization_approach),snew,Set
MD124,0.3617913832199546,0.17407757805108814,-0.06434374999999999,-0.05368918918918916,-0.07635854341736695,-0.05617697469862039,-0.006318681318681318,0.1499999999999999,-1,-1,0.842032591385159,0.157967408614841,1.036633765035616,0.4847147463446476,0.29211008335287036,0.5007101149671852,0.47861134318462173,0.3539180247310623,0.08880926941943933,0.17944192331696945,In,NA,Sub_train
MD016,-0.06208616780045353,0.05509933774834405,-0.09109374999999996,-0.1527027027027027,-0.11778711484593846,-0.06204057532887745,0.0,0.125,1,1,0.0017528822627738139,0.9982471177372262,0.626607767890953,0.009131403772867697,0.4094413007755643,0.9813061613898723,0.6430959076554325,0.39925470986188505,0.1235793955531022,0.113186440536065,In,NA,Sub_train
MD033,-0.06208616780045353,-0.3422516556291393,-0.038214285714285694,-0.056563706563706566,-0.03897559023609447,0.16332018610802768,0.0,-0.3571428571428572,1,1,0.0017226490297260755,0.9982773509702739,0.626607767890953,1.5791717441290622,0.1775006682034998,0.5146625709153104,0.3301891659136559,1.3432087569345408,0.1235793955531022,1.1645978702385258,In,NA,Sub_train
MD068,-0.1302721088435374,0.121097445600757,-0.0027812499999999712,0.20036486486486488,-0.03546218487394954,-0.05290591355221383,-0.006318681318681318,0.1499999999999999,1,1,0.017046287026785567,0.9829537129732144,0.8941607176320427,0.2729409932910568,0.02208380026559546,0.7324283690981229,0.3162398326184395,0.3286265564695548,0.08880926941943933,0.17944192331696945,In,NA,Sub_train
MD104,-0.13345930964978586,0.18616629874908025,0.058437500000000024,0.3972972972972973,0.07002801120448181,-0.06770296193077895,0.11025641025641024,0.5,-1,1,0.20357858647997773,0.7964214135200223,0.9066668877322712,0.5330361384104466,0.24643472185012605,1.6883074716664066,0.10258969395158875,0.4430356312866348,0.7302929008419442,1.1070186822496355,In,NA,Sub_train
MD099,0.5161451247165533,0.154437086092715,0.4717857142857143,0.0555984555984556,0.6276910764305723,-0.06929123072199524,0.0,0.1428571428571428,-1,-1,0.8913312019703252,0.1086687980296748,1.6422981910042227,0.40620719074835065,2.0594683368646858,0.02975495130501192,2.3166888830419143,0.455315942759234,0.1235793955531022,0.1605117853795682,In,NA,Sub_train
MD097,0.5161451247165533,0.154437086092715,0.4737847222222222,0.024024024024024117,0.6285714285714286,-0.06929123072199524,0.0,0.16666666666666674,-1,-1,0.8637090299874262,0.1362909700125738,1.6422981910042227,0.40620719074835065,2.0682364129330257,0.12350238139881521,2.3201841601773894,0.455315942759234,0.1235793955531022,0.22361224517090636,In,NA,Sub_train
MD085,0.2348072562358277,0.001892147587511849,0.08159375000000002,0.1288783783783784,-0.08700280112044813,-0.056484005708752415,-0.006318681318681318,0.1499999999999999,1,1,0.05123354031352434,0.9487664596864757,0.538364221121382,0.20354995107952276,0.34800298366112636,0.3854441892733633,0.5208724212771894,0.35629195315994033,0.08880926941943933,0.17944192331696945,In,NA,Sub_train
MD047,0.1976064499874024,-0.17144959529065495,0.0,0.0,0.0,-0.07942918474082122,-0.22051282051282048,0.0,1,1,0.09965131456305021,0.9003486854369498,0.3923929946155551,0.8964366947012912,0.009884643313936977,0.24011122149955402,0.17544371455214763,0.5337014362818586,1.0898476150245815,0.2180909733684585,In,NA,Sub_train
MD130,0.44477198286722097,0.33848417954378224,0.12812500000000004,0.04594594594594598,0.5574229691876751,-0.08078720651640517,0.11025641025641024,0.0,-1,-1,0.9995110939881263,0.0004889060118736317,1.3622390711629047,1.14188567843952,0.552098991537752,0.017096814806891725,2.0377022171375936,0.544201504332665,0.7302929008419442,0.2180909733684585,In,NA,Sub_train
MD092,0.2939229024943311,-0.11046357615894074,0.02272321428571433,0.13397683397683394,0.05514205682272903,-0.0632923171394157,0.0,0.1428571428571428,1,-1,0.6196906767610743,0.38030932323892574,0.7703264891543123,0.6526615745196035,0.08978423129913275,0.4101912921336706,0.04348773511536565,0.4089330334565414,0.1235793955531022,0.1605117853795682,In,NA,Sub_train
MD005,-0.13345930964978586,0.18616629874908025,0.06328125,0.6986486486486486,0.07871148459383756,-0.06770296193077895,0.11025641025641024,0.25,-1,-1,0.6684685006227093,0.3315314993772907,0.9066668877322712,0.5330361384104466,0.2676804446311044,3.1510196096800436,0.1370658366060521,0.4430356312866348,0.7302929008419442,0.4444638544405885,In,2.0682095998619583,Sub_train
MD001,-0.06208616780045353,0.4458278145695362,-0.22296875,0.2297297297297297,-0.16428571428571434,-0.05124725443423632,0.0,0.125,-1,-1,0.9130923587325858,0.08690764126741422,0.626607767890953,1.5709628325430995,0.9878732371351076,0.8749608119637564,0.8277100909019133,0.3158019950928674,0.1235793955531022,0.113186440536065,In,NA,Sub_train
MD118,0.44477198286722097,0.33848417954378224,0.4737847222222222,0.024024024024024117,0.6285714285714286,-0.08078720651640517,0.11025641025641024,0.16666666666666674,-1,-1,0.7404615615357749,0.2595384384642251,1.3622390711629047,1.14188567843952,2.0682364129330257,0.12350238139881521,2.3201841601773894,0.544201504332665,0.7302929008419442,0.22361224517090636,In,NA,Sub_train
MD079,0.06349206349206342,-0.030905077262693287,-0.21875000000000008,0.008310810810810811,-0.4366946778711485,-0.002377522181022335,0.0,0.0,1,1,0.010398018652373553,0.9896019813476264,0.13385477964148323,0.33464798868412715,0.9693688979387718,0.19977185087720487,1.9092600499814476,0.06205314943365245,0.1235793955531022,0.2180909733684585,In,NA,Sub_train
MD034,-0.06208616780045353,0.05509933774834405,0.03647321428571434,-0.041698841698841714,0.01816726690676273,-0.06204057532887745,0.0,0.1428571428571428,1,1,0.001988647590622894,0.9980113524093771,0.626607767890953,0.009131403772867697,0.15009467016126524,0.44251085110297855,0.1033139045746068,0.39925470986188505,0.1235793955531022,0.1605117853795682,In,NA,Sub_train
